object_num,area,aspect,angle,axis_major,axis_minor,perimeter,length,width,x,y
63,182.41696,1.6785179,48.890274,19.868845,11.837136,52.143955,20.208313,12.760437,145.71935,123.71416
145,182.49202,1.2496783,17.306406,17.104916,13.687456,49.844456,17.371582,14.103851,240.78656,227.89299
101,183.58041,1.1604515,42.988461,16.486816,14.207242,48.915741,16.745605,14.170654,197.88055,171.70303
232,183.65547,1.4220352,140.59436,18.269907,12.847717,50.142925,18.799988,13.847656,244.52469,377.0127
170,184.42484,1.2846508,40.803371,17.391342,13.537797,49.251129,18.142822,14.133423,311.42075,268.20456
192,184.78139,1.2665529,24.508177,17.292587,13.653269,49.093586,16.845215,13.567932,301.0401,306.94598
187,184.81891,1.1559842,13.419517,16.539146,14.307416,49.397007,15.952881,14.157349,75.469276,299.02579
182,185.79471,1.0887277,112.15292,16.112579,14.799457,53.009949,16.333191,15.359863,230.78175,286.54657
188,187.37099,1.5337666,3.7536602,19.190834,12.512225,51.936844,19.934814,12.687927,251.46391,301.23114
175,188.57196,1.1720393,148.05984,16.821907,14.352682,50.48666,17.411621,14.562744,80.547478,278.46298
222,188.90973,1.2652462,153.88237,17.572887,13.888908,52.028397,18.109985,14.494629,148.84879,362.52402
118,188.96603,1.197589,142.09201,16.991196,14.187835,49.621655,17.229431,14.477783,33.010967,196.44444
165,189.24751,1.2564203,48.18597,17.430332,13.873011,49.798176,17.231567,13.81958,333.82642,261.24991
107,189.47269,1.3784975,110.8529,18.26767,13.25187,50.552773,18.738548,14.203247,382.08118,185.13823
72,190.42972,1.1681288,54.194855,16.874176,14.445476,50.165188,17.196777,15.07312,305.75848,140.00322
15,191.16156,1.2254417,111.35033,17.296728,14.114689,50.385826,17.720337,14.719788,143.11418,42.892944
39,191.38675,1.3492247,72.200104,18.173309,13.469446,50.687752,18.505157,14.532532,189.74329,82.497932
141,192.02477,1.3643698,177.5024,18.295326,13.409361,50.77467,18.386902,14.09082,85.555771,227.83553
197,192.24995,1.1857207,20.495447,17.08255,14.406892,50.426014,17.046631,14.768066,177.27025,319.28397
22,194.38919,1.2777182,52.212116,17.869516,13.985492,52.06831,18.071106,14.216217,91.329094,54.476711
134,194.44548,1.5073181,68.241806,19.370724,12.851118,52.432285,20.119751,13.072571,312.57935,216.14035
74,194.50179,1.2561136,19.297331,17.718641,14.105923,52.846066,17.84198,14.306335,27.412222,143.74084
120,195.83411,1.2113737,107.05115,17.411165,14.373075,50.720181,16.70784,14.081421,84.6064,199.15778
49,195.90918,1.2746326,96.811867,17.980434,14.106367,53.118473,18.65274,14.702148,337.63034,99.215134
172,196.75362,1.3044206,167.68207,18.107981,13.882011,51.428116,17.907349,13.706055,28.547703,276.05157
21,197.2415,1.3247477,98.976036,18.330595,13.837047,52.768513,19.940521,15.133362,221.60796,51.123798
110,197.86076,1.6834871,82.855164,20.684145,12.286489,54.457764,20.847626,13.337072,298.17795,187.18318
106,198.161,1.4590861,126.79938,19.275766,13.21085,52.500641,19.503723,13.343628,48.200752,182.03488
14,198.5363,1.0988723,78.410019,16.719526,15.215167,52.026726,18.490936,16.089317,114.62083,34.765659
28,198.55507,1.2437209,107.4844,17.794287,14.3073,61.673859,21.339615,14.610107,236.08989,61.4856
69,199.54964,1.0784597,108.41318,16.569782,15.364304,50.555828,17.241005,16.027527,206.69391,130.01651
129,199.66222,1.0918906,22.70573,16.667906,15.26518,50.485771,17.114502,14.972504,227.24722,211.32352
71,199.86864,1.2537552,70.504585,17.917673,14.291205,51.677223,18.260559,15.226379,266.1683,140.26813
167,200.07506,1.3298841,152.44148,18.50947,13.918108,53.264687,20.171387,15.392578,66.013771,268.16513
164,200.13135,1.21155,6.7324147,17.61422,14.538582,51.189732,17.405762,14.69342,361.00363,259.3569
24,200.4879,1.5768144,117.45653,20.08667,12.738766,52.760208,20.83139,13.315125,297.7034,57.925198
230,200.58173,1.1633016,166.34731,17.299747,14.871249,51.503899,17.767334,15.652588,184.69302,373.80923
227,200.60048,1.1352578,0.06366494,17.146427,15.103554,53.778091,18.49292,16.031006,211.1389,369.13116
32,200.67555,1.2763836,52.992943,18.12455,14.199924,52.323097,19.3078,14.705139,165.04749,70.338966
206,200.73184,1.3992374,3.4714231,18.925592,13.525648,51.785549,19.482666,13.880615,68.284149,332.65436
219,200.84444,1.311463,109.18488,18.384233,14.018111,52.172123,18.665222,14.884888,127.14387,354.95309
208,201.16344,1.6148995,135.12209,20.371861,12.61494,53.373268,21.408813,13.177612,97.040863,338.21805
146,201.7827,1.084712,140.04846,16.711784,15.406655,50.916451,17.203552,16.175903,135.93042,228.6839
45,201.91405,1.2040986,145.8004,17.622932,14.635789,51.452911,17.227943,14.536255,162.26753,90.975189
109,202.23306,1.3483037,51.442921,18.661276,13.840559,51.93803,18.547241,13.733032,237.48096,187.13292
207,202.64589,1.2071685,64.339737,17.68096,14.646639,51.315353,17.566528,14.92868,308.03848,333.36395
126,203.05873,1.2999084,17.583492,18.381107,14.14031,56.261719,20.354858,14.83252,66.062332,208.50787
99,203.09627,1.4010026,7.4088082,19.101217,13.633963,52.835426,19.265259,14.244583,141.72791,173.1859
68,203.37775,1.181052,80.842125,17.535282,14.847172,51.629333,17.650757,15.404099,359.77106,129.46126
61,203.5654,1.2515277,64.634621,18.044268,14.417794,51.753014,17.573303,14.249481,243.37199,121.36595
83,203.75305,1.3995055,61.353088,19.164778,13.693964,53.811157,20.301086,14.562943,155.94205,153.28526
65,204.20341,1.125136,100.565,17.167917,15.258527,52.209793,18.111252,15.974792,170.2372,127.07423
84,204.3723,1.2580888,63.572502,18.137527,14.41673,54.982594,18.379395,15.140686,363.81393,155.95058
176,204.44736,1.2756166,1.3703413,18.268909,14.32163,52.130352,18.282715,14.80011,164.79637,281.69736
229,204.67255,1.6481773,144.89059,20.770287,12.601974,54.667667,21.012939,12.716797,120.29012,372.97214
48,204.89772,1.2558793,110.58665,18.130531,14.436524,51.846378,18.550156,14.559143,246.66055,98.340736
174,206.07994,1.2531041,140.39114,18.16198,14.493592,51.95631,18.573853,14.54895,118.87527,276.69214
11,206.30511,1.4867189,68.337692,19.786415,13.308781,53.399826,20.42868,13.869812,283.46188,32.545303
27,206.81178,1.4215231,123.33393,19.446472,13.680026,53.590172,19.735306,14.160339,134.41977,61.938084
121,207.24338,1.1505828,3.2333503,17.512163,15.220255,55.981255,17.43457,16.375854,292.22751,200.61694
194,207.35597,1.2912811,167.98566,18.528414,14.348862,52.938038,17.83728,14.159424,201.64182,310.36044
117,207.91893,1.1519475,151.87044,17.518353,15.207596,52.60524,18.540466,15.928223,121.55666,195.14505
38,207.97522,1.2985214,142.15036,18.643625,14.35758,53.806217,19.127014,15.593994,323.46127,81.298073
211,207.97522,1.2195119,26.223722,17.995066,14.755958,52.007946,17.967285,14.820084,235.01799,344.62039
151,208.20041,1.3400559,22.467543,18.874382,14.084771,52.656189,18.737305,13.86202,199.99872,239.51234
96,208.61325,1.1011034,4.5054111,17.15202,15.577119,55.397034,18.076782,16.279907,16.365973,171.81253
60,208.85719,1.072294,164.31302,16.915373,15.77494,52.342113,17.282349,16.298584,123.87639,121.32135
55,209.15744,1.1798958,104.78353,17.797451,15.083918,52.881073,17.781738,15.075684,362.81152,109.84876
184,209.53275,1.0728046,38.267838,16.962278,15.811154,52.963997,18.363281,16.790833,270.66693,291.26587
108,209.68286,1.2537001,44.689438,18.321671,14.614078,52.810963,18.881348,14.538818,348.26669,186.5715
237,209.70163,1.1714557,151.55968,17.766388,15.166077,53.016048,17.470215,15.126709,166.89026,383.0275
113,210.39595,1.0314195,130.08318,16.67045,16.162628,52.825916,17.823792,16.710327,203.05762,189.90805
166,210.4147,1.22815,7.4041018,18.165739,14.79114,52.412567,17.669189,14.581421,139.59482,266.03412
150,210.69618,1.0932543,35.476765,17.181173,15.715623,53.511742,18.343994,16.719482,309.21738,237.37457
226,210.79001,1.5743715,151.02467,20.599232,13.084099,54.183708,20.393799,12.516113,290.73196,365.61093
147,212.15988,1.5624725,100.23077,20.5949,13.180968,54.353703,20.129166,12.710754,386.07199,232.53053
82,212.36629,1.0583879,91.7789,16.955326,16.019955,52.941544,17.469677,16.152344,101.1116,153.07761
198,212.36629,1.2500796,8.2380886,18.454247,14.762457,53.252934,18.036621,14.74728,335.50671,320.61539
139,213.07938,1.1057154,102.38058,17.365587,15.705297,52.749912,17.234161,16.026703,158.05408,221.0506
33,213.1732,1.6861151,108.89719,21.434107,12.712125,55.995686,21.262909,12.99176,338.38824,68.942947
173,213.9801,1.1801028,147.43643,17.982759,15.238299,53.215038,18.354645,15.568359,252.58113,276.47876
183,214.22406,1.2760186,62.755432,18.706993,14.660439,53.342796,18.273682,14.550049,357.82227,289.51059
2,214.35541,1.132708,100.99355,17.617611,15.553534,53.323189,17.144806,16.177368,216.8239,12.720176
92,215.03096,1.2931987,80.778931,18.907024,14.620355,54.498909,18.493042,14.813217,305.11026,165.98662
104,215.50009,1.211743,144.84671,18.270611,15.077958,53.214535,19.090637,15.771606,90.305763,177.23277
212,216.10059,1.6114619,164.92877,21.259617,13.192752,57.301323,22.049377,13.018799,194.11746,347.78244
31,216.32576,1.1567286,118.86431,17.937122,15.506767,53.891762,18.427052,16.164642,113.42684,68.833832
81,216.43835,1.0776483,148.41209,17.295261,16.049078,53.520672,17.086819,16.655518,206.59607,153.31062
52,217.33908,1.2269624,106.35513,18.46092,15.046036,53.737469,19.102043,15.645966,143.4697,103.35619
70,219.02795,1.2081699,32.533478,18.387331,15.21916,53.486668,18.310913,15.357971,229.4456,140.7224
140,219.10301,1.1650566,101.47552,18.074247,15.513622,53.748009,18.378849,15.818054,289.45959,225.08476
171,219.85362,1.1809329,36.559429,18.208607,15.418833,54.351913,19.174072,16.61618,278.08829,275.06454
105,220.43535,1.5140089,85.100708,20.684896,13.662334,55.720352,21.697342,14.022957,166.63777,176.39711
199,221.69263,1.4576485,177.87125,20.41341,14.004343,56.472771,21.158142,14.754395,237.67033,321.24585
155,224.62,1.2002413,41.092209,18.555487,15.459797,53.914349,18.374634,15.525829,153.46751,246.9175
85,224.78889,1.15966,135.3421,18.313715,15.792315,55.340256,19.019714,16.594116,48.162285,160.09117
143,225.37061,1.6007017,160.54517,21.501575,13.432593,56.341003,21.139343,14.095215,179.81439,228.93311
119,225.67085,1.4952656,75.063087,20.919851,13.990726,58.531624,22.606934,15.080292,327.05185,196.60757
156,228.01651,1.1397226,39.687492,18.218214,15.984779,55.071217,19.105469,17.27533,296.1633,249.75375
44,228.33553,1.1200764,39.229382,18.091188,16.151745,54.772686,18.804443,17.386108,279.00229,88.930122
193,229.0486,1.142476,28.371065,18.296148,16.014471,54.566364,18.769531,16.942444,120.34264,310.3584
77,229.17996,1.6291258,86.650436,22.034931,13.525617,59.188198,22.530731,13.238907,338.2334,146.8831
178,230.38094,1.1451681,137.47714,18.396118,16.064121,55.302708,17.796997,15.861572,329.33658,283.20355
186,233.15819,1.4499993,174.12318,20.886644,14.404589,65.228928,21.111267,17.169434,219.97972,296.47781
154,235.78532,1.3455911,13.703796,20.158361,14.981046,56.639942,19.615234,14.707413,217.84293,246.67023
122,235.86038,1.3636062,56.56115,20.295002,14.88333,57.004086,20.051636,14.551758,250.19141,201.75111
102,236.19815,1.5420922,91.490326,21.612024,14.014742,57.965378,20.955383,14.732498,220.98363,171.54836
144,237.38037,1.380277,35.603233,20.454086,14.818827,56.237522,19.935059,14.773438,334.69778,228.6647
158,239.33195,1.0292972,96.924255,17.76791,17.262177,56.444756,18.078568,17.959106,381.88971,249.71227
62,240.70181,1.2451632,54.9986,19.556421,15.70591,56.180737,19.695313,15.632019,332.17096,122.37249
215,241.28354,1.244856,13.262211,19.576208,15.72568,56.210205,19.586426,15.740906,169.11333,350.07449
220,241.71513,1.038605,137.26405,17.929739,17.26329,56.302986,18.698181,17.963135,305.72589,356.12552
112,251.21036,1.1601375,172.9205,19.353209,16.681822,58.797585,20.62677,17.488525,148.21254,190.88354
196,255.18858,1.3373516,33.429714,20.87608,15.610017,58.432438,20.508789,15.448547,270.51675,318.47601
80,272.88422,1.1858044,84.029785,20.409853,17.211821,61.519005,21.351898,17.676056,174.98586,153.73445
